review_id,listing_id,date,reviewer_name,comments,listing_name,neighbourhood,borough,room_type,nightly_price,review_scores_rating
4750860,1016004,2013-05-23,Marion,"Fantastic! Do not even think twice! Emily and Lou are the perfect hosts. The bed is comfortable, the neighborhood very safe (even at 3 in the morning alone), and Emily and Lou will insist that you help yourself in their kitchen (full of healthy food, yumi!). They provide essential things you may need like a hair-dryer, towels, a map of the subway or an umbrella but also very interesting conversations! They are the best to tell you where to eat in NYC or what to visit, and so good at making smoothies! I'm happy I had the chance to stay with them and to find like a piece of home thanks to them.",Clean and Cute Shared Room in Very Safe Area,Astoria,Queens,Shared room,,4.91
4783030,255601,2013-05-26,Venus,"My family and I had a great week in NY staying in Antonio's apartment. Even with 6 people, Antonio provided air bed for us, so we do not have to worry about any bed issue. Everything in the apartment was as advertised, it was clean, comfortable. Plus close to metro station.Even though gas was out one day, which is not his fault, but he is willing to work the situation out . Will recommend him to people who visiting NY.",Cozy Modern 2 Bedroom Apartment 20 min from City,Bedford-Stuyvesant,Brooklyn,Entire home/apt,$318.33,4.65
4885439,306799,2013-05-31,Sarah,We had a nice stay. The location is great and there was plenty of room for three people. It's great to have your own entrance and bathroom. Also they were very flexible concerning our check in. ,Heart of Bushwick 2 rooms and private bath,Bushwick,Brooklyn,Private room,$113.00,4.6
4948568,71384,2013-06-03,Bryan,Great place in a perfect location to explore all the happening spots.  Ben and Sarina's place was beautiful clean and comfortable and they took great care of us in organizing our stay.  Kitty Kats are both super friendly and were fun to have around.  Would love to return for a future visit and would recommend to anyone looking for the brooklyn experience.  ,Gigantic Private Brooklyn Loft!,Greenpoint,Brooklyn,Entire home/apt,,4.98
4955051,397034,2013-06-03,Patrizio,Staying at Richelle place was an unique experience. I loved her passion for life and the warm welcome she deserved to me. She let me discover some unique places in NY and I did enjoy sharing our experiences and getting to know her and her son who is a talented young artist. Her apartment is very cute and extremely clean. It is conveniently located at walking distance to all major NY attractions and very close to Central Park. Last but not least Richelle's home made biscuits and muffins ! I definitively recommend to choose her place and discovering Richelle exciting world.,New York City for All Seasons!,Upper West Side,Manhattan,Private room,$93.16,4.68
5579072,818481,2013-07-07,Alice,"Aletia is kind and down to earth, and she takes good care of her place.  I stayed for 1 month in the summer and loved talking with her when I see her in the kitchen.  Her place is very convenient.  The 1 subway line and Duane Reade are just a few steps away.  During the day there are lots of families and kids in the neighborhood and it felt safe.  I would recommend staying with Aletia anytime!  ",Manhattan Gorgeous Very Spacious Room.,Harlem,Manhattan,Private room,$87.89,4.57
5849289,107630,2013-07-19,Reba,"Maya has created a wonderful piece of the world in the historic Greenpoint Duplex. Some great vintage pieces and very comfortable. She was very flexible with check in and the map with suggestions for cafe's, bar's and shopping was extremely helpful for someone new to the area. Thanks Maya!",Sweet Historic Greenpoint Duplex,Greenpoint,Brooklyn,Entire home/apt,$197.30,4.76
6068808,938022,2013-07-29,Alice,"We loved staying with Gregory, he was super welcoming and very helpful with what was happening in the city and how to get around etc. Unfortunately we didnt get to hang out with Gregory as our list of things to do in NYC kept us busy so we didnt cross paths too often. We felt comfortable and safe staying at his place at all times. I was a little worried about the bathroom being at the other end of the apartment but it was never an issue. Because the apartment is on the top floor nobody walks past.",Private Bedroom in Williamsburg,Williamsburg,Brooklyn,Private room,$247.33,4.88
6130335,26785,2013-07-31,Lindsay,"Our stay at the Park Slope Green Guest House was wonderful. The neighbourhood has a safe, community feel and was within walking distance to many amenities. <br/><br/>The guest house itself was clean and bright with a cosy, lived-in atmosphere. We really appreciated the small touches like a full directory of takeout menus, most with feedback from Dani and use of the kitchen pantry. <br/><br/>I would definitely not hesitate to book again if we're back in NYC! Thanks for making our stay memorable. ",Park Slope Green Guest House,South Slope,Brooklyn,Entire home/apt,,4.93
6442835,1268154,2013-08-12,Ruby,"My short but sweet stay at Sandra's house was great, her and her husband were very warm and welcoming. I would definitely stay here again! ","Big room W/ private bathroom in Queens, NYC",Maspeth,Queens,Private room,$54.26,4.77
6891964,690934,2013-08-29,Carina,"The ideal place to stay and discover New York. A great apartment, which actually turned out to be a house with 3 floors and lots of space available, even for 6 people. We pretty much enjoyed the living room and different terraces, especially the roof terrace. The welcome and ""guided tour"" in the apartment was perfect and we also got some handy tips concerning the surroundings. The subway station ""Atlantic Avenue"" was just around the corner and in a few minutes ride we found ourselves in the heart of Manhattan. Nothing else to add here -> a clear recommendation to everybody who's looking for a place to stay in NY. ",*Available 1 year* 5BR Multi-Terrace Sunny Apt!,Park Slope,Brooklyn,Entire home/apt,$35.30,4.92
7004733,18728,2013-09-03,India,"My boyfriend and I spent 2 weeks in New York and stayed in David and Rick's apartment the entire time. We were incredibly happy with our choice! The location, right in the heart of the Meatpacking District, was perfect for us. We were a few minutes walk from some great places, such as Chelsea Markets, The High Line, and MANY great restaurants and bars. <br/><br/>The apartment itself was clean, spacious, stylish and fun - And the designated guest area, is an entire floor with bathroom, TV, couch, coffee table, sofa bed and piano! There was more than enough room! They also had everything we needed - Soaps, shampoo, laundry detergent, toilet paper, milk, towels etc etc!<br/><br/>Despite the fact that David and Rick were away the entire time we stayed in their place (bar one day), they went out of their way to be amazing hosts! They gave us a list of all the places we should see, bars we should go to, even the best supermarkets. They made us feel welcome to ask any questions we had, and gave us great advice on what the city has to offer. They even called us from their own holiday multiple times to make sure we were having a great time!<br/><br/>All in all, a FANTASTIC experience thanks to David and Rick (and their beautiful apartment)! I definitely recommend to anyone going to New York!! Looking forward to seeing you in Sydney very soon Dave!",Beautiful Meatpacking District Loft,Chelsea,Manhattan,Private room,$207.23,4.95
7367506,1331960,2013-09-17,Pablo,"Savannah's apartment was perfect. Everything was better than you can imagine with the pics: new, cozy, artsy, comfortable and perfect for a couple.<br/>It is close to the J, M and G lines, so going to Manhattan is really easy. There's also a big drugstore just by the apt, where you can buy any basic.<br/>Savannah was helpful and easy going, a really nice host. We would definitely come back to her apt.",Artsy & Cozy. 2 stops from Manhattan! W/D in unit.,Bedford-Stuyvesant,Brooklyn,Entire home/apt,$148.24,4.91
